Date,Type of Product,Product Bought,Price of Product
1/1/2026,Food,Street Burger,85
1/2/2026,Transport,Jeepney Fare,15
1/3/2026,School Supply,Notebook,25
1/4/2026,Food,Instant Noodles,18
1/5/2026,Entertainment,Movie Ticket,250
1/6/2026,Utilities,Mobile Load,50
1/7/2026,Clothing,T-Shirt,180
1/8/2026,Food,Chicken Meal,120
1/9/2026,Misc,Sticker Pack,10
1/10/2026,Transport,Tricycle Fare,30
1/11/2026,School Supply,Pen Set,40
1/12/2026,Food,Milk Tea,95
1/13/2026,Food,Rice Meal,70
1/14/2026,Entertainment,Online Game Top-up,200
1/15/2026,Clothing,Socks,60
1/16/2026,Food,Bread Loaf,55
1/17/2026,Transport,Jeepney Fare,18
1/18/2026,School Supply,Eraser,12
1/19/2026,Food,Fast Food Combo,150
1/20/2026,Utilities,Electric Load,100
1/21/2026,Clothing,Cap,120
1/22/2026,Food,Instant Coffee,20
1/23/2026,Misc,Phone Case,90
1/24/2026,Transport,Bus Fare,40
1/25/2026,School Supply,Ruler,15
1/26/2026,Food,Pizza Slice,110
1/27/2026,Entertainment,Streaming Subscription,199
1/28/2026,Clothing,Hoodie,350
1/29/2026,Food,Chips,35
1/30/2026,Transport,Jeepney Fare,15
2/1/2026,Food,Chicken Adobo,130
2/2/2026,School Supply,Notebook,30
2/3/2026,Clothing,Shorts,200
2/4/2026,Food,Hotdog Sandwich,60
2/5/2026,Transport,Tricycle Fare,25
2/6/2026,Entertainment,Arcade Play,100
2/7/2026,Food,Bottled Water,25
2/8/2026,Utilities,Mobile Load,60
2/9/2026,Misc,Keychain,20
2/10/2026,Food,Burger Steak,140
2/11/2026,School Supply,Folder,22
2/12/2026,Clothing,Slippers,150
2/13/2026,Food,Milk Tea,90
2/14/2026,Entertainment,Concert Snack,180
2/15/2026,Transport,Jeepney Fare,16
2/16/2026,Food,Ramen,120
2/17/2026,School Supply,Marker,35
2/18/2026,Clothing,Shirt,220
2/19/2026,Food,Fried Chicken,135
2/20/2026,Transport,Bus Fare,45
2/21/2026,Misc,Notebook Sticker,15
2/22/2026,Food,Ice Cream,75
2/23/2026,Entertainment,Movie Ticket,260
2/24/2026,Clothing,Jacket,400
2/25/2026,Food,Sandwich,80
2/26/2026,School Supply,Glue,18
2/27/2026,Transport,Jeepney Fare,15
2/28/2026,Food,Pasta,150
3/1/2026,Utilities,Water Bill Load,120
3/2/2026,Food,Burger,90
3/3/2026,Clothing,Hat,130
3/4/2026,Entertainment,Mobile Game Skin,220
3/5/2026,Food,Milk Tea,95
3/6/2026,Transport,Tricycle Fare,20
3/7/2026,School Supply,Notebook,28
3/8/2026,Misc,USB Cable,110
3/9/2026,Food,Siomai,60
3/10/2026,Clothing,Belt,170
3/11/2026,Food,Chicken Rice,125
3/12/2026,Transport,Jeepney Fare,15
3/13/2026,Entertainment,Streaming Subscription,199
3/14/2026,Food,Bread,40
3/15/2026,School Supply,Pen,18
3/16/2026,Clothing,Shirt,210
3/17/2026,Food,Instant Noodles,22
3/18/2026,Transport,Bus Fare,50
3/19/2026,Misc,Notebook,35
3/20/2026,Food,Burger Combo,160
